"Turbidity (NTU)","Type","Nid","Turbidity (NTU) (field_turbidity) - delta"
"16.9","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"10.85","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"16.9","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"22","Data: Water Quality","1690",""
"34","Data: Water Quality","1690","1"
"23","Data: Water Quality","1690","2"
"25","Data: Water Quality","1690","3"
"","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"10","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"10","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"","Data: Water Quality","2236",""
"","Data: Water Quality","2236","1"
"","Data: Water Quality","2236","2"
"","Data: Water Quality","2236","3"
"3.4","Data: Water Quality","2237",""
"5.21","Data: Water Quality","2237","1"
"4.3","Data: Water Quality","2237","2"
"4.2","Data: Water Quality","2237","3"
"","Data: Water Quality","2303",""
"","Data: Water Quality","2303","1"
"","Data: Water Quality","2303","2"
"","Data: Water Quality","2303","3"
"8.1","Data: Water Quality","2310",""
"5","Data: Water Quality","2310","1"
"","Data: Water Quality","2310","2"
"","Data: Water Quality","2310","3"
"6.6","Data: Water Quality","2311",""
"6.6","Data: Water Quality","2311","1"
"7.3","Data: Water Quality","2311","2"
"8.2","Data: Water Quality","2311","3"
"24","Data: Water Quality","2340",""
"16.5","Data: Water Quality","2340","1"
"11.5","Data: Water Quality","2340","2"
"19.1","Data: Water Quality","2340","3"
"1.3","Data: Water Quality","2367",""
"1.3","Data: Water Quality","2367","1"
"1.01","Data: Water Quality","2367","2"
"1.1","Data: Water Quality","2367","3"
"1.09","Data: Water Quality","2373",""
"1.07","Data: Water Quality","2373","1"
"1.1","Data: Water Quality","2373","2"
"1.05","Data: Water Quality","2373","3"
"66","Data: Water Quality","2375",""
"88","Data: Water Quality","2375","1"
"99","Data: Water Quality","2375","2"
"22","Data: Water Quality","2375","3"
"1.08","Data: Water Quality","2376",""
"1.07","Data: Water Quality","2376","1"
"1.05","Data: Water Quality","2376","2"
"1.1","Data: Water Quality","2376","3"
"1.08","Data: Water Quality","2381",""
"1.1","Data: Water Quality","2381","1"
"1.74","Data: Water Quality","2381","2"
"1.7","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"","Data: Water Quality","2432",""
"10","Data: Water Quality","2432","1"
"","Data: Water Quality","2432","2"
"","Data: Water Quality","2432","3"
"","Data: Water Quality","2435",""
"10","Data: Water Quality","2435","1"
"","Data: Water Quality","2435","2"
"","Data: Water Quality","2435","3"
"13","Data: Water Quality","8271",""
"13","Data: Water Quality","8271","1"
"14","Data: Water Quality","8271","2"
"13","Data: Water Quality","8271","3"
"10","Data: Water Quality","8276",""
"10","Data: Water Quality","8276","1"
"10","Data: Water Quality","8276","2"
"10","Data: Water Quality","8276","3"
"45","Data: Water Quality","30981",""
"49","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
